datetime,close,MA5,MA20,MA5 >= MA20,Position,TradeP&L,PositionP&L,CumP&L,Capital,Return,NetAssetValue,NetAssetValue2
2020/4/17 13:32,3855.6,3850.48,3845.02,TRUE,1,0,6,10,10010,0.00059976,1.001,1.001
2020/4/17 13:33,3856.4,3852.88,3845.89,TRUE,1,0,8,18,10018,0.000799201,1.0018,1.0018
2020/4/17 13:34,3858,3855.6,3846.83,TRUE,1,0,16,34,10034,0.001597125,1.0034,1.0034
2020/4/17 13:35,3857.4,3856.48,3847.66,TRUE,1,0,-6,28,10028,-0.000597967,1.0028,1.0028
2020/4/17 13:36,3858.2,3857.12,3848.49,TRUE,1,0,8,36,10036,0.000797766,1.0036,1.0036
2020/4/17 13:37,3857.6,3857.52,3849.31,TRUE,1,0,-6,30,10030,-0.000597848,1.003,1.003
2020/4/17 13:38,3857.8,3857.8,3849.97,TRUE,1,0,2,32,10032,0.000199402,1.0032,1.0032
2020/4/17 13:39,3857,3857.6,3850.54,TRUE,1,0,-8,24,10024,-0.000797448,1.0024,1.0024
2020/4/17 13:40,3856.4,3857.4,3851.07,TRUE,1,0,-6,18,10018,-0.000598563,1.0018,1.0018
2020/4/17 13:41,3855.6,3856.88,3851.59,TRUE,1,0,-8,10,10010,-0.000798563,1.001,1.001
2020/4/17 13:42,3855.2,3856.4,3852.15,TRUE,1,0,-4,6,10006,-0.0003996,1.0006,1.0006
2020/4/17 13:43,3855.8,3856,3852.79,TRUE,1,0,6,12,10012,0.00059964,1.0012,1.0012
2020/4/17 13:44,3857.8,3856.16,3853.51,TRUE,1,0,20,32,10032,0.001997603,1.0032,1.0032
2020/4/17 13:45,3858.2,3856.52,3854.12,TRUE,1,0,4,36,10036,0.000398724,1.0036,1.0036
2020/4/17 13:46,3858.6,3857.12,3854.8,TRUE,1,0,4,40,10040,0.000398565,1.004,1.004
2020/4/17 13:47,3858.6,3857.8,3855.55,TRUE,1,0,0,40,10040,0,1.004,1.004
2020/4/17 13:48,3857,3858.04,3856.18,TRUE,1,0,-16,24,10024,-0.001593625,1.0024,1.0024
2020/4/17 13:49,3857.8,3858.04,3856.85,TRUE,1,0,8,32,10032,0.000798085,1.0032,1.0032
2020/4/17 13:50,3858.2,3858.04,3857.11,TRUE,1,0,4,36,10036,0.000398724,1.0036,1.0036
2020/4/17 13:51,3860,3858.32,3857.36,TRUE,1,0,18,54,10054,0.001793543,1.0054,1.0054
2020/4/17 13:52,3860,3858.6,3857.58,TRUE,1,0,0,54,10054,0,1.0054,1.0054
2020/4/17 13:53,3859.4,3859.08,3857.73,TRUE,1,0,-6,48,10048,-0.000596777,1.0048,1.0048
2020/4/17 13:54,3860.2,3859.56,3857.84,TRUE,1,0,8,56,10056,0.000796178,1.0056,1.0056
2020/4/17 13:55,3859.4,3859.8,3857.94,TRUE,1,0,-8,48,10048,-0.000795545,1.0048,1.0048
2020/4/17 13:56,3859,3859.6,3857.98,TRUE,1,0,-4,44,10044,-0.000398089,1.0044,1.0044
2020/4/17 13:57,3859.8,3859.56,3858.09,TRUE,1,0,8,52,10052,0.000796495,1.0052,1.0052
2020/4/17 13:58,3859.8,3859.64,3858.19,TRUE,1,0,0,52,10052,0,1.0052,1.0052
2020/4/17 13:59,3860,3859.6,3858.34,TRUE,1,0,2,54,10054,0.000198965,1.0054,1.0054
2020/4/17 14:00,3860,3859.72,3858.52,TRUE,1,0,0,54,10054,0,1.0054,1.0054
2020/4/17 14:01,3860.8,3860.08,3858.78,TRUE,1,0,8,62,10062,0.000795703,1.0062,1.0062
2020/4/17 14:02,3859.4,3860,3858.99,TRUE,1,0,-14,48,10048,-0.001391373,1.0048,1.0048
2020/4/17 14:03,3858,3859.64,3859.1,TRUE,1,0,-14,34,10034,-0.001393312,1.0034,1.0034
2020/4/17 14:04,3858.4,3859.32,3859.13,TRUE,1,0,4,38,10038,0.000398645,1.0038,1.0038
2020/4/17 14:05,3858.6,3859.04,3859.15,FALSE,-1,4,-2,40,10040,0.000199243,1.004,1.004
2020/4/17 14:06,3858,3858.48,3859.12,FALSE,-1,0,6,46,10046,0.00059761,1.0046,1.0046
2020/4/17 14:07,3857.6,3858.12,3859.07,FALSE,-1,0,4,50,10050,0.000398168,1.005,1.005
2020/4/17 14:08,3856.2,3857.76,3859.03,FALSE,-1,0,14,64,10064,0.001393035,1.0064,1.0064
2020/4/17 14:09,3855,3857.08,3858.89,FALSE,-1,0,12,76,10076,0.001192369,1.0076,1.0076
2020/4/17 14:10,3854.4,3856.24,3858.7,FALSE,-1,0,6,82,10082,0.000595474,1.0082,1.0082
